,,,
,,,
,,,
,,,
0,-1.459136042,-1.254230128,-0.4062848411
0.0002,-1.460409881,-1.254867062,-0.4069215931
0.0004,-1.461683719,-1.256777864,-0.4094686013
0.0006,-1.4610468,-1.25295626,-0.4037378329
0.0008,-1.457225285,-1.252319326,-0.4024643288
0.001,-1.459136042,-1.255503996,-0.4069215931
0.0012,-1.459136042,-1.255503996,-0.405011337
0.0014,-1.462957558,-1.253593194,-0.4062848411
0.0016,-1.461683719,-1.256777864,-0.4088318493
0.0018,-1.457225285,-1.25295626,-0.4043745849
0.002,-1.455951446,-1.254230128,-0.4062848411
0.0022,-1.460409881,-1.25295626,-0.405648089
0.0024,-1.464868315,-1.25614093,-0.4075583452
0.0026,-1.458499123,-1.254230128,-0.4062848411
0.0028,-1.459136042,-1.25295626,-0.4018275767
0.003,-1.457862204,-1.254867062,-0.4043745849
0.0032,-1.460409881,-1.254230128,-0.405648089
0.0034,-1.461683719,-1.254867062,-0.4069215931
0.0036,-1.463594477,-1.25614093,-0.4069215931
0.0038,-1.461683719,-1.251045458,-0.4024643288
0.004,-1.457225285,-1.253593194,-0.405011337
0.0042,-1.461683719,-1.254230128,-0.4062848411
0.0044,-1.460409881,-1.25295626,-0.405011337
0.0046,-1.464868315,-1.25614093,-0.4075583452
0.0048,-1.4610468,-1.255503996,-0.4062848411
0.005,-1.4610468,-1.252319326,-0.4037378329
0.0052,-1.4610468,-1.249134656,-0.4043745849
0.0054,-1.466779073,-1.254867062,-0.4069215931
0.0056,-1.465505235,-1.25295626,-0.4062848411
0.0058,-1.464231396,-1.254867062,-0.4043745849
0.006,-1.462320639,-1.25295626,-0.4031010808
0.0062,-1.459136042,-1.25295626,-0.4011908247
0.0064,-1.463594477,-1.250408524,-0.4011908247
0.0066,-1.465505235,-1.254867062,-0.4088318493
0.0068,-1.464231396,-1.25295626,-0.4062848411
0.007,-1.465505235,-1.252319326,-0.4031010808
0.0072,-1.458499123,-1.252319326,-0.4043745849
0.0074,-1.463594477,-1.253593194,-0.4043745849
0.0076,-1.464231396,-1.25295626,-0.3999173206
0.0078,-1.464231396,-1.254867062,-0.4081950972
0.008,-1.463594477,-1.254867062,-0.4024643288
0.0082,-1.459136042,-1.250408524,-0.4018275767
0.0084,-1.462957558,-1.250408524,-0.4018275767
0.0086,-1.464868315,-1.255503996,-0.405011337
0.0088,-1.463594477,-1.254230128,-0.4062848411
0.009,-1.466142154,-1.25295626,-0.4031010808
0.0092,-1.461683719,-1.252319326,-0.405648089
0.0094,-1.461683719,-1.251045458,-0.4005540726
0.0096,-1.464868315,-1.251045458,-0.4018275767
0.0098,-1.4610468,-1.254867062,-0.4075583452
0.01,-1.465505235,-1.253593194,-0.4043745849
